iter	Passed	Remaining
485	666	705
486	668	704
487	670	703
488	671	701
489	673	701
490	675	699
491	676	698
492	678	697
493	679	695
494	680	694
495	682	693
496	683	692
497	685	690
498	686	689
499	687	687
500	688	686
501	690	684
502	691	683
503	693	682
504	694	680
505	695	679
506	697	677
507	698	676
508	699	674
509	701	673
510	702	672
511	703	670
512	705	669
513	706	668
514	707	666
515	709	665
516	710	663
517	712	662
518	713	661
519	714	659
520	716	658
521	717	656
522	718	655
523	720	654
524	721	652
525	723	651
526	724	650
527	725	648
528	727	647
529	728	645
530	729	644
531	731	643
532	732	642
533	734	640
534	735	639
535	736	637
536	737	636
537	739	635
538	740	633
539	742	632
540	743	630
541	744	629
542	745	627
543	746	625
544	747	624
545	749	622
546	750	621
547	751	620
548	753	618
549	754	617
550	755	615
551	756	614
552	758	612
553	759	611
554	760	609
555	761	608
556	762	606
557	764	605
558	765	604
559	766	602
560	768	601
561	770	600
562	771	598
563	772	597
564	773	595
565	774	594
566	776	592
567	777	591
568	778	589
569	779	588
570	780	586
571	782	585
572	783	583
573	784	582
574	786	581
575	787	579
576	788	578
577	790	576
578	791	575
579	792	573
580	793	572
581	794	570
582	796	569
583	797	568
584	798	566
585	800	565
586	801	563
587	802	562
588	803	560
589	804	559
590	806	557
591	807	556
592	808	555
593	810	553
594	811	552
595	812	550
596	813	549
597	814	547
598	816	546
599	817	544
600	818	543
601	819	541
602	820	540
603	822	538
604	823	537
605	824	535
606	825	534
607	827	533
608	828	531
609	829	530
610	830	528
611	831	527
612	832	525
613	834	524
614	835	522
615	836	521
616	837	520
617	839	518
618	840	517
619	841	515
620	842	514
621	843	512
622	844	511
623	846	509
624	847	508
625	848	506
626	849	505
627	850	503
628	851	502
629	853	501
630	854	499
631	855	498
632	857	496
633	858	495
634	859	494
635	860	492
636	861	491
637	863	489
638	865	488
639	866	487
640	867	485
641	868	484
642	869	482
643	871	481
644	872	480
645	873	478
646	875	477
647	876	476
648	877	474
649	879	473
650	880	471
651	881	470
652	882	469
653	883	467
654	885	466
655	886	464
656	887	463
657	889	462
658	890	460
659	891	459
660	892	457
661	894	456
662	895	455
663	896	453
664	897	452
665	899	450
666	900	449
667	901	447
668	902	446
669	904	445
670	905	444
671	906	442
672	908	441
673	909	439
674	910	438
675	911	437
676	913	435
677	914	434
678	915	432
679	916	431
680	918	430
681	919	428
682	920	427
683	921	425
684	923	424
685	924	423
686	925	421
687	926	420
688	928	418
689	929	417
690	930	416
691	931	414
692	933	413
693	934	412
694	935	410
695	937	409
696	938	407
697	939	406
698	940	405
699	942	403
700	943	402
701	944	400
702	945	399
703	947	398
704	948	396
705	949	395
706	951	394
707	952	392
708	954	391
709	955	390
710	956	388
711	957	387
712	959	386
713	960	384
714	962	383
715	964	382
716	965	381
717	966	379
718	967	378
719	969	376
720	970	375
721	972	374
722	973	373
723	975	371
724	976	370
725	978	369
726	979	367
727	981	366
728	982	365
729	984	363
730	985	362
731	986	361
732	988	359
733	989	358
734	992	357
735	993	356
736	994	354
737	995	353
738	997	352
739	998	350
740	999	349
741	1001	348
742	1003	346
743	1004	345
744	1005	344
745	1007	342
746	1008	341
747	1010	340
748	1011	338
749	1012	337
750	1013	336
751	1015	334
752	1017	333
753	1018	332
754	1020	331
755	1021	329
756	1023	328
757	1024	327
758	1025	325
759	1027	324
760	1029	323
761	1030	321
762	1032	320
763	1033	319
764	1034	317
765	1035	316
766	1037	315
767	1039	314
768	1041	312
769	1042	311
770	1044	310
771	1045	308
772	1046	307
773	1047	305
774	1049	304
775	1050	303
776	1052	301
777	1053	300
778	1054	299
779	1056	297
780	1057	296
781	1059	295
782	1060	293
783	1061	292
784	1062	291
785	1063	289
786	1065	288
787	1066	286
788	1068	285
789	1069	284
790	1071	283
791	1072	281
792	1073	280
793	1074	278
794	1075	277
795	1077	276
796	1078	274
797	1079	273
798	1081	272
799	1082	270
800	1083	269
801	1085	267
802	1086	266
803	1087	265
804	1089	263
805	1090	262
806	1091	261
807	1092	259
808	1093	258
809	1094	256
810	1096	255
811	1098	254
812	1099	252
813	1100	251
814	1101	250
815	1103	248
